county_name,county_population,total,fail_to_attend_cases_filed_2020,parents_contrib_to_nonattend_cases_filed_2020,fail_to_attend_cases_filed_2021,parents_contrib_to_nonattend_cases_filed_2021,fail_to_attend_cases_filed_2022,parents_contrib_to_nonattend_cases_filed_2022,fail_to_attend_cases_filed_2023,parents_contrib_to_nonattend_cases_filed_2023,fail_to_attend_cases_filed_2024,parents_contrib_to_nonattend_cases_filed_2024,fail_to_attend_cases_filed_2025,parents_contrib_to_nonattend_cases_filed_2025
Concho,"3,326",4,0,0,0,0,0,0,0,0,2,2,0,0
Sutton,"3,269",1,0,0,0,0,0,0,0,0,0,0,1,0
Knox,"3,255",1,0,1,0,0,0,0,0,0,0,0,0,0
Donley,"3,193",0,0,0,0,0,0,0,0,0,0,0,0,0
Kinney,"3,191",0,0,0,0,0,0,0,0,0,0,0,0,0
Shackelford,"3,169",4,1,0,1,2,0,0,0,0,0,0,0,0
Reagan,"3,139",3,0,0,0,0,0,3,0,0,0,0,0,0
Hemphill,"3,134",2,0,0,0,0,1,1,0,0,0,0,0,0
Upton,"3,128",0,0,0,0,0,0,0,0,0,0,0,0,0
Lipscomb,"2,880",1,0,1,0,0,0,0,0,0,0,0,0,0
Hall,"2,828",44,0,15,0,0,6,14,9,0,0,0,0,0
Crockett,"2,799",8,1,0,3,0,1,0,0,0,0,3,0,0
Real,"2,772",1,0,0,1,0,0,0,0,0,0,0,0,0
Sherman,"2,771",0,0,0,0,0,0,0,0,0,0,0,0,0
Collingsworth,"2,611",1,0,0,0,0,0,0,0,0,1,0,0,0
Cochran,"2,583",32,0,0,8,0,18,0,5,0,0,0,1,0
Schleicher,"2,302",1,0,0,0,0,0,0,1,0,0,0,0,0
Culberson,"2,254",0,0,0,0,0,0,0,0,0,0,0,0,0
Menard,"1,911",0,0,0,0,0,0,0,0,0,0,0,0,0
Oldham,"1,823",0,0,0,0,0,0,0,0,0,0,0,0,0
Armstrong,"1,809",1,0,0,0,0,0,0,0,0,1,0,0,0
Jeff Davis,"1,778",0,0,0,0,0,0,0,0,0,0,0,0,0
Dickens,"1,725",0,0,0,0,0,0,0,0,0,0,0,0,0
Throckmorton,"1,532",0,0,0,0,0,0,0,0,0,0,0,0,0
Irion,"1,526",0,0,0,0,0,0,0,0,0,0,0,0,0
Briscoe,"1,494",0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,"1,387",0,0,0,0,0,0,0,0,0,0,0,0,0
Edwards,"1,383",18,0,0,0,0,0,18,0,0,0,0,0,0
Cottle,"1,263",0,0,0,0,0,0,0,0,0,0,0,,
Stonewall,"1,235",0,0,0,0,0,0,0,0,0,0,0,0,0
Glasscock,"1,153",0,0,0,0,0,0,0,0,0,0,0,0,0
Foard,"1,053",0,0,0,0,0,0,0,0,0,0,0,0,0
Motley,"1,015",0,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,837,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrell,718,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,703,0,0,0,0,0,0,0,0,0,0,0,0,0
McMullen,565,0,0,0,0,0,0,0,0,0,0,0,0,0
Borden,557,0,0,0,0,0,,,,,,,,
Kenedy,330,0,0,0,0,0,0,0,0,0,0,0,0,0
King,215,0,0,0,0,0,0,0,0,0,0,0,0,0
Loving,48,0,0,0,0,0,0,0,0,0,0,0,0,0
CountyTotal,,"124,974","6,766","8,723","6,619","9,971","9,043","13,511","10,854","15,740","10,879","16,306","6,301","10,261"
